"gewittern","ukkostaa | ukkostaa | ukkosti | ukkostanut [1, 3P]"
"sporteln","urheilla | urheilen | urheilin | urheillut"
"oft","usein"
"glauben","uskoa | uskon | uskoin | uskonut [1]"
"neu","uusi | uuden | uutta | uusia"
"sondern","vaan"
"falsch [Adv]","väärin"
"oder [dual]","vai"
"beispielsweise [Adv]","vaikka"
"Ehefrau","vaimo | aviovaimo | vaimon | vaimoa | vaimoja"
"nur","vain"
"weiss","valkoinen | valkoisen | valkoista | valkoisia"
"fertig","valmis | valmiin | valmista | valmiita"
"alt","vanha | vanhan | vanhaa | vanhoja"
"altmodisch","vanhanaikainen | vanhanaikaisen | vanhanaikaista | vanhanaikaisia"
"Eltern","vanhemmat | vanhempien | vanhemmpia [Plur]"
"Farbe","väri | värin | väriä | värejä"
"sicher","varma | varman | varmaa | varmoja"
"sicher [Adv]","varmasti"
"links","vasemalla"
"linker | linkes","vasen | vasemman | vasenta | vasempia"
"gegenüber","vastapäätä"
"Baby","vauva | vauvan | vauvaa | vauvoja"
"Messer","veitsi | veitsen | veistä | veitsiä"
"Bruder","veli | veljen | veljeä | veljiä"
"Wasser","vesi | veden | vettä | vesiä"
"Klo | Toilette","vessa | vessan | vessaa | vessoja"
"bringen | wegbringen","viedä | vien | vein | vienyt [2]"
"noch","vielä"
"neben","vieressä | vierestä | viereen [Gen + ~]"
"grün","vihreä | vihreän | vihreää | vihreitä"
"Woche","viikko | viikon | viikkoa | viikkoja"
"Wochenende","viikonloppu | viikonlopun | viikonloppua | viikonloppuja"
"lebendig | lebhaft | unruhig","vilkas | vilkkaan | vilkasta | vilkaita"
"können | möglich sein","voida | voin | voin | voinut [2]"
"Jahr","vuosi | vuoden | vuotta | vuosia"
"x-jährig","x-vuotias | x-vuotiaan | x-viotiasta | x-vuotiaita"
"übermorgen","ylihuomenna"
"Universität","yliopisto | yliopiston | yliopistoa | yliopistoja"
"verstehen","ymmärtää | ymmärrän | ymmärsin | ymmärtänyt"
"Nacht","yö | yön | yötä | öitä"
"in der Nacht","yöllä"
"Freund","ystävä | ystävän | ystävää | ystäviä"
"freundlich","ystävällinen | ystävällisen | ystävällistä | ystävällisiä"
